REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ADJUSTMENT,POLLUTANT,METHODOLOGY,SOURCE,VESSEL,VESSEL_EMISSIONS_SOURCE,TIME_PERIOD,CO2_Emissions,Group
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2023-02,70874,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2023-03,84136,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2023-04,72052,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2023-05,80408,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2023-06,80341,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2023-07,80781,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2023-08,75176,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2023-09,79906,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2023-10,86067,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2023-11,73895,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2023-12,83284,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2024-01,98564,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2024-02,71145,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2024-03,72383,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2024-04,77048,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2024-05,90927,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2024-06,90126,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2024-07,90244,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2024-08,84694,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2024-09,79821,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2024-10,78611,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2024-11,56363,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2024-12,94000,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2019-01,521567,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2019-02,380066,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2019-03,409003,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2019-04,407547,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2019-05,417509,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2019-06,402378,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2019-07,419575,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2019-08,391007,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2019-09,390786,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2019-10,399069,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2019-11,395253,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2019-12,424645,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2020-01,510608,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2020-02,394288,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2020-03,377347,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2020-04,366177,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2020-05,374828,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2020-06,327298,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2020-07,345017,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2020-08,366434,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2020-09,360668,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2020-10,356050,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2020-11,346546,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2020-12,381810,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2021-01,436160,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2021-02,268063,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2021-03,309886,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2021-04,294156,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2021-05,318240,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2021-06,300699,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2021-07,304914,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2021-08,287278,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2021-09,284795,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2021-10,302957,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2021-11,307012,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2021-12,400875,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2022-01,470546,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2022-02,347862,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2022-03,371803,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2022-04,376967,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2022-05,373585,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2022-06,378014,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2022-07,358189,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2022-08,381924,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2022-09,365532,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2022-10,383787,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2022-11,330616,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2022-12,334918,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2023-01,473720,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2023-02,275907,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2023-03,307310,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2023-04,282778,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2023-05,311550,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2023-06,328239,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Liquefied gas tanker,Domestic voyages,2023-07,309699,OECD Country
